Ticker,Nome,Setor,Preço Atual,P/L (P/E),P/VP (P/B),Div. Yield (%),Market Cap,ROE (%),ROIC (%),Data IPO,Lucro >0 (4A)?,Receita Sobe?
ACBI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACCD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACCO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACEL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACER,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACET,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACEV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACEVU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACEVW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACGL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACGLO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACGLP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACH,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACHC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACHV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACIA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACIC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACIC.U,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACIC.WS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACIU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACIW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACKIU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACLS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AACG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AACQ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AACQU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AACQW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAIC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAIC^B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAIC^C,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAME,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAOI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAON,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAPL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAWW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAXJ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AAXN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABBV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABCB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABCL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABCM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABEO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABEV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABEV3.SA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABIO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABMD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABNB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABR^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABR^B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABR^C,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABST,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABTX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ABUS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
